nume_actiune,timestamp
add_author,2026-05-19T01:40:57
add_book,2026-05-19T01:40:57
add_reader,2026-05-19T01:40:57
list_books,2026-05-19T01:40:57
find_book_by_id,2026-05-19T01:40:57
update_book,2026-05-19T01:40:57
borrow_book,2026-05-19T01:40:57
return_book,2026-05-19T01:40:57
report_active_loans,2026-05-19T01:40:57
add_author,2026-05-19T01:43:19
add_book,2026-05-19T01:43:19
add_reader,2026-05-19T01:43:19
list_books,2026-05-19T01:43:19
find_book_by_id,2026-05-19T01:43:19
update_book,2026-05-19T01:43:19
borrow_book,2026-05-19T01:43:19
return_book,2026-05-19T01:43:19
report_active_loans,2026-05-19T01:43:19
delete_reader,2026-05-19T01:43:19
find_account_by_iban,2026-06-03T12:33:15.358303400
open_account,2026-06-03T12:33:15.359304400
find_account_by_iban,2026-06-03T12:33:15.360304200
open_account,2026-06-03T12:33:15.361303700
find_account_by_iban,2026-06-03T12:33:15.361303700
open_account,2026-06-03T12:33:15.362302800
find_account_by_iban,2026-06-03T12:33:15.363303
open_account,2026-06-03T12:33:15.363303
deposit,2026-06-03T12:33:15.416320400
withdraw,2026-06-03T12:33:15.416320400
transfer,2026-06-03T12:33:15.417319900
find_account_by_iban,2026-06-03T13:57:51.902143500
open_account,2026-06-03T13:57:51.904107600
find_account_by_iban,2026-06-03T13:57:51.905117300
open_account,2026-06-03T13:57:51.906296700
find_account_by_iban,2026-06-03T13:57:51.907315500
open_account,2026-06-03T13:57:51.908329100
find_account_by_iban,2026-06-03T13:57:51.909331100
open_account,2026-06-03T13:57:51.910328700
deposit,2026-06-03T13:57:51.918493800
withdraw,2026-06-03T13:57:51.920004
transfer,2026-06-03T13:57:51.921288200
seed_database_startup,2026-06-03T13:59:21.330806500
seed_database_startup,2026-06-03T14:00:00.953023900
deschide_meniu_clienti,2026-06-03T14:00:12.327113200
afiseaza_clienti,2026-06-03T14:00:14.209285
database_query_clients,2026-06-03T14:00:14.237184700
adauga_client_individual,2026-06-03T14:00:21.409269700
afiseaza_clienti,2026-06-03T14:00:54.186726700
database_query_clients,2026-06-03T14:00:54.189249600
deschide_meniu_angajati,2026-06-03T14:01:02.612444800
afiseaza_angajati,2026-06-03T14:01:03.727951400
database_query_employees,2026-06-03T14:01:03.730482200
sterge_angajat,2026-06-03T14:01:09.887949
afiseaza_angajati,2026-06-03T14:01:18.365723400
database_query_employees,2026-06-03T14:01:18.366725300
seed_database_startup,2026-06-03T14:07:45.607107700
seed_database_startup,2026-06-03T14:08:34.381594100
deschide_meniu_clienti,2026-06-03T14:08:39.445123
afiseaza_clienti,2026-06-03T14:08:42.322393800
database_query_clients,2026-06-03T14:08:42.327228700
